time0,amp0,time1,amp1,time2,amp2
0,418,0,401,0,401
0,430,0,430,0,430
1000,430,1000,429,1000,430
2000,430,1000,429,2000,430
2000,430,2000,430,2000,430
3000,430,3000,430,3000,430
3000,430,3000,430,3000,430
4000,430,4000,430,4000,430
5000,430,4000,430,5000,430
5000,430,5000,430,5000,430
6000,430,6000,430,6000,430
6000,430,6000,430,6000,430
7000,430,7000,430,7000,430
7000,430,7000,430,7000,430
8000,430,8000,430,8000,430
9000,430,8000,430,9000,430
9000,430,9000,430,9000,430
10000,430,10000,430,10000,430
10000,430,10000,430,10000,430
11000,430,11000,430,11000,430
11000,430,11000,430,12000,430
12000,430,12000,430,12000,430
13000,430,12000,430,13000,430
13000,430,13000,430,13000,430
14000,430,14000,430,14000,430
14000,430,14000,430,14000,430
15000,430,15000,430,15000,430
16000,430,15000,430,16000,430
16000,430,16000,430,16000,430
17000,430,17000,430,17000,430
17000,430,17000,430,17000,430
18000,430,18000,430,18000,430
18000,430,18000,430,19000,430
19000,430,19000,430,19000,430
20000,430,20000,430,20000,430
20000,430,20000,430,20000,430
21000,430,21000,430,21000,430
21000,430,21000,430,22000,430
22000,430,22000,430,22000,430
22000,430,22000,430,23000,430
23000,430,23000,430,23000,430
24000,430,24000,430,24000,429
24000,430,24000,430,24000,429
25000,429,25000,430,25000,430
25000,429,25000,430,25000,430
26000,430,26000,430,26000,430
26000,430,26000,430,27000,430
27000,430,27000,430,27000,430
28000,430,28000,430,28000,430
28000,430,28000,430,28000,430
29000,430,29000,430,29000,430
29000,429,29000,430,30000,430
30000,429,30000,430,30000,430
31000,430,31000,430,31000,430
31000,430,31000,430,31000,430
32000,430,32000,430,32000,430
32000,430,32000,430,32000,430
33000,430,33000,430,33000,430
34000,430,33000,430,34000,430
34000,430,34000,430,34000,430
35000,430,35000,430,35000,430
35000,430,35000,430,35000,430
36000,430,36000,430,36000,430
36000,430,36000,430,37000,430
37000,430,37000,430,37000,430
38000,430,38000,430,38000,430
38000,430,38000,430,38000,430
39000,430,39000,430,39000,430
39000,430,39000,430,39000,430
40000,430,40000,430,40000,430
41000,430,41000,430,41000,430
41000,430,41000,430,41000,430
42000,430,42000,430,42000,430
42000,430,42000,430,42000,430
43000,430,43000,430,43000,430
43000,430,43000,430,44000,430
44000,430,44000,430,44000,430
45000,430,45000,430,45000,430
45000,430,45000,430,45000,430
46000,430,46000,430,46000,430
46000,430,46000,430,47000,430
